Age_synchroBe;C14Be 
6844.79;-6.60188E-05
6850.09;-0.176894
6855.39;-0.228942
6860.7;-0.0376251
6866;0.529483
6871.3;1.10279
6876.61;1.54196
6881.91;1.74423
6887.21;1.48824
6892.51;0.82932
6897.82;0.216137
6903.12;-0.303879
6908.42;-0.663522
6913.72;-0.787688
6919.03;-0.854257
6924.33;-0.898802
6929.63;-0.903532
6934.94;-0.828919
6940.24;-0.686818
6945.54;-0.560239
6950.84;-0.461039
6956.15;-0.41491
6961.45;-0.457426
6966.75;-0.529293
6972.05;-0.598884
6977.36;-0.660271
6982.66;-0.715427
6987.96;-0.760398
6993.27;-0.805061
6998.57;-0.855348
7003.87;-0.915211
7009.17;-1.00046
7014.48;-1.09329
7019.78;-1.17001
7025.08;-1.21873
7030.38;-1.21378
7035.69;-1.13143
7040.99;-1.03492
7046.29;-0.942035
7051.6;-0.852785
7056.9;-0.773088
7062.2;-0.698993
7067.5;-0.622594
7072.81;-0.537956
7078.11;-0.439149
7083.41;-0.306407
7088.71;-0.16147
7094.02;-0.00631145
7099.32;0.176858
7104.62;0.427569
7109.92;0.747802
7115.23;0.971534
