age;intcal20_detrended
6120;-1.35049
6125;-2.82152
6130;-3.19223
6135;-1.96263
6140;0.567276
6145;3.5975
6150;6.52804
6155;8.85889
6160;9.89005
6165;9.92154
6170;9.05334
6175;7.88546
6180;6.4179
6185;5.05065
6190;3.78373
6195;2.61713
6200;1.35085
6205;0.0848929
6210;-1.18074
6215;-2.24605
6220;-2.91103
6225;-2.87569
6230;-1.94003
6235;-0.104031
6240;2.43229
6245;5.06894
6250;7.30593
6255;8.74324
6260;9.08088
6265;8.31886
6270;6.85716
6275;4.99581
6280;2.93478
6285;0.874092
6290;-1.08626
6295;-3.04628
6300;-4.90596
6305;-6.8653
6310;-8.6243
6315;-10.083
6320;-10.9413
6325;-10.8993
6330;-9.9569
6335;-8.71419
6340;-7.97114
6345;-7.72774
6350;-7.884
6355;-8.23992
6360;-8.19548
6365;-7.0507
6370;-4.80557
6375;-2.26009
6380;-0.414263
6385;-0.168082
6390;-1.62155
6395;-4.07466
6400;-6.82742
6405;-8.87983
6410;-10.8319
6415;-11.1836
6420;-9.63492
6425;-7.4859
6430;-5.73652
6435;-5.58678
6440;-6.73669
6445;-8.18623
6450;-9.03541
6455;-9.28423
6460;-8.93268
6465;-8.08078
6470;-7.0285
6475;-5.97586
6480;-5.42286
6485;-5.76948
6490;-7.21574
6495;-9.26163
6500;-10.9072
6505;-11.3523
6510;-10.7971
6515;-9.74149
6520;-8.38552
6525;-7.42918
6530;-7.07246
6535;-7.11537
6540;-6.8579
6545;-6.20006
6550;-5.74183
6555;-6.08323
6560;-7.02425
6565;-8.06488
6570;-8.70514
6575;-8.54501
6580;-7.2845
6585;-5.52361
6590;-3.76233
6595;-2.70067
6600;-2.63862
6605;-2.77618
6610;-2.61335
6615;-1.85014
6620;-1.18653
6625;-1.32254
6630;-2.05815
6635;-2.89337
6640;-3.3282
6645;-3.06263
6650;-2.89667
6655;-2.83032
6660;-3.56356
6665;-4.89641
6670;-6.52886
6675;-8.16091
6680;-9.09257
6685;-9.12382
6690;-8.35466
6695;-7.28511
6700;-6.01515
6705;-4.84479
6710;-3.67403
6715;-2.80285
6720;-2.33127
6725;-2.15929
6730;-2.48689
6735;-3.21408
6740;-4.54087
6745;-6.26724
6750;-7.7932
6755;-8.21875
6760;-7.04388
6765;-5.2686
6770;-3.69291
6775;-3.01679
6780;-3.34026
6785;-4.16332
6790;-5.18595
6795;-6.80816
6800;-8.72995
6805;-9.75132
6810;-8.97227
6815;-6.59279
6820;-3.91289
6825;-2.73257
6830;-2.75182
6835;-2.37064
6840;-1.78903
6845;-2.10699
6850;-3.02453
6855;-3.84163
6860;-3.95831
6865;-3.27455
6870;-1.99035
6875;-0.805726
6880;-0.420664
6885;-1.13517
6890;-2.14923
6895;-2.96286
6900;-3.37605
6905;-3.1888
6910;-2.7011
6915;-1.91297
6920;-1.0244
6925;-0.135378
6930;0.554084
6935;0.843991
6940;0.534345
6945;-0.574855
6950;-1.98361
6955;-2.69191
6960;-2.49977
6965;-1.90717
6970;-1.11412
6975;-0.620621
6980;-0.326667
6985;-0.33226
6990;-0.637397
6995;-1.14208
7000;-1.7463
7005;-2.25007
7010;-2.75338
7015;-3.15623
7020;-3.45861
7025;-3.76054
7030;-3.762
7035;-3.463
7040;-2.66354
7045;-1.36361
7050;-0.0632136
7055;1.03765
7060;1.73898
7065;1.84078
7070;1.74305
