age;stackVKtr;stackFluxVKtr
6216;23.82026147;19.37772784
6211;23.50109345;20.08800221
6206;23.29764402;20.47858211
6201;23.15164234;20.72207086
6196;24.24536523;20.71199269
6191;25.58420352;20.63558144
6186;26.27627833;20.64557138
6181;26.66051717;20.69683688
6176;26.8537191;20.77323942
6171;26.81461118;20.87933149
6166;26.83853829;20.97756205
6161;26.89856827;21.07117841
6156;26.97462912;21.16263428
6151;26.14873673;20.02247898
6146;25.49917217;19.11663418
6141;25.18292364;18.66030791
6136;25.02348963;18.41568798
6131;24.67889633;18.32600566
6126;24.11532945;18.33891045
6121;23.80364638;18.32605412
6116;23.61841327;18.30142625
6111;23.4930578;18.28748685
6106;23.37688351;18.89514507
6101;23.28486703;19.25328196
6096;23.20769772;19.44237618
6091;23.13913511;19.553443
6086;22.8648434;19.4921219
6081;22.55478262;19.38842931
6076;22.36284338;19.35113633
6071;22.22880243;19.34574624
6066;21.73539842;18.76297354
6061;19.94109719;16.17750277
6056;18.90678573;14.74383175
6051;18.28854572;13.93951781
6046;17.86611321;13.42955251
6041;17.421506;13.31631347
6036;17.04684018;13.22344362
6031;16.74077192;13.07325675
6026;16.47049055;12.89985777
6021;16.72380034;13.62174977
6016;17.48487605;15.23083105
6011;17.79972604;16.02620304
6006;17.89453101;16.41789949
6001;17.9978198;16.742208
5996;22.72779398;22.10036349
5991;25.55427757;25.35305075
5986;27.08927838;27.17954105
5981;28.02069068;28.33784187
5976;25.82303025;25.20804907
5971;22.95078879;21.17425149
5966;21.55393884;19.21851058
5961;20.85974873;18.25271846
5956;20.30762385;17.73835309
5951;19.28870373;17.41803504
5946;18.69521461;17.21129454
5941;18.33041096;17.06141324
5936;18.07440306;16.94094124
5931;19.87526262;19.60485213
5926;21.32134542;21.75040156
5921;22.05049578;22.89073032
5916;22.44420366;23.55923356
5911;23.78182824;25.2150809
5906;26.12723006;27.95320968
5901;27.4425147;29.54675
5896;28.24333152;30.56749229
5891;28.80124937;31.29010525
5886;29.20349378;30.70950008
5881;29.56233764;30.53302594
5876;29.89975408;30.64018867
5871;30.22291395;30.87426225
5866;29.73911773;30.88281375
5861;29.09661202;30.86051485
5856;28.87958854;30.9977099
5851;28.86360349;31.2085035
5846;28.5362591;31.44540623
5841;26.88359544;31.67559332
5836;26.02999088;31.92106685
5831;25.61075943;32.17278788
5826;25.39372648;32.42569431
5821;24.20563974;29.70443014
5816;23.26728017;27.54848541
5811;22.74216352;26.47685838
5806;22.41339288;25.91461372
5801;21.74099096;25.28488545
5796;20.6850979;24.46852748
5791;20.04975597;23.98532541
5786;19.62637388;23.67002171
5781;19.26320249;23.3624238
5776;17.16296148;19.91357252
5771;15.81093305;17.77088887
5766;14.96619162;16.51633628
5761;14.36212613;15.68047735
5756;14.37339029;15.20930725
5751;14.53843729;14.86959587
5746;14.46577704;14.49479251
5741;14.2837897;14.10926656
5736;14.23393466;14.2159637
5731;14.77220553;15.99481651
5726;14.95891427;16.830159
5721;14.95687714;17.15418102
5716;14.86942863;17.24387501
5711;15.28565742;19.91363346
5706;15.58225542;22.02159188
5701;15.67457118;23.1250601
5696;15.67193548;23.75599217
5691;15.79497979;23.5867
5686;16.06452975;22.74195575
5681;16.17231689;22.36717934
5676;16.20003515;22.2252093
5671;16.18616861;22.1592347
5666;15.95891345;20.86262054
5661;15.8026717;20.10291414
5656;15.69651333;19.70383162
5651;15.61382056;19.47313378
5646;14.89219373;19.44911396
5641;14.05355813;19.4875082
5636;13.57125459;19.47614341
5631;13.26023751;19.44219132
5626;13.17001995;19.67980234
5621;13.5942353;20.86689132
5616;13.7671867;21.50919025
5611;13.8030722;21.85470074
5606;13.77666169;22.06232304
5601;16.52583477;24.74385641
5596;18.727479;26.90953341
5591;19.89890801;28.13131158
5586;20.58542132;28.90727068
5581;21.36047354;29.76694237
5576;22.33668615;30.81325496
5571;22.97146527;31.5400916
5566;23.43354089;32.10428509
5561;23.78126392;32.54169181
5556;22.8035543;30.95123656
5551;22.31793755;30.13634244
5546;22.16883817;29.85044098
5541;22.17354772;29.80779034
5536;20.64419602;27.80259018
5531;18.84333244;25.45699312
5526;17.92707558;24.26116822
5521;17.43383126;23.61580774
5516;16.82166756;22.9593014
5511;15.23019719;21.5143678
5506;14.2980882;20.65132702
